,tripid,prediction
0,218814065,0
1,216443764,1
2,222729300,1
3,213613646,1
4,221178537,1
5,215918598,1
6,222424741,1
7,218426277,1
8,216861613,1
9,216953106,1
10,216419543,1
11,217436398,1
12,222431080,1
13,216783995,1
14,214654984,1
15,213590807,0
16,213691192,1
17,215833886,1
18,217610388,1
19,218411373,1
20,216291741,0
21,217690498,1
22,221310212,1
23,214051956,1
24,213327688,1
25,220233877,1
26,215686871,1
27,219895002,1
28,214074944,1
29,213881783,1
30,215680395,1
31,215212049,1
32,218470556,1
33,213933852,1
34,219812658,1
35,217077027,1
36,217191371,1
37,217468029,0
38,218019034,0
39,215127383,1
40,217952318,1
41,220774835,1
42,220757109,1
43,219772979,1
44,216381826,1
45,219216402,1
46,217459763,1
47,220055649,1
48,221647218,1
49,215472551,1
50,213834503,1
51,213681604,1
52,216212623,1
53,219334438,1
54,217896659,0
55,217979551,1
56,220726421,1
57,218580306,1
58,213932153,1
59,215585116,1
60,220454432,0
61,218454495,1
62,217047945,1
63,219561971,1
64,221270897,1
65,214061304,1
66,214802920,0
67,218753576,1
68,215609864,0
69,222276446,1
70,213346288,1
71,217209521,1
72,217509347,1
73,220111311,1
74,215115416,1
75,216109666,1
76,215612324,0
77,220814551,1
78,221118427,1
79,221177940,1
80,222823825,0
81,215769401,0
82,218206756,1
83,216369368,1
84,216476163,1
85,220862340,1
86,216102119,1
87,214787427,1
88,222069148,1
89,221630801,1
90,218210384,1
91,217605304,1
92,221923084,1
93,217395430,1
94,214377572,1
95,220309246,1
96,218632414,1
97,216182846,0
98,218720661,1
99,217508175,1
100,218629835,1
101,216851379,1
102,222819649,1
103,218723677,1
104,213982907,1
105,220235972,1
106,216046313,1
107,221880227,1
108,219660675,1
109,220455569,1
110,222139441,1
111,221246260,1
112,221465742,1
113,222818091,1
114,215677547,1
115,220814494,1
116,214847671,1
117,221144529,1
118,214987574,1
119,220142968,0
120,214766625,1
121,218108253,1
122,217886116,1
123,214859889,1
124,222652348,1
125,216055165,1
126,219762549,1
127,219738373,1
128,214590473,1
129,217051689,1
130,213928210,0
131,215915368,1
132,222254852,1
133,213399573,1
134,214931616,1
135,215117078,1
136,218798237,0
137,219151108,1
138,217017532,1
139,220640184,1
140,215963430,1
141,214613999,1
142,214675573,1
143,221933700,1
144,217980822,1
145,222803383,1
146,220349281,1
147,220793372,1
148,219606624,0
149,213315522,1
150,219859295,1
151,215351510,1
152,216925687,1
153,217725480,1
154,220033822,0
155,218472344,1
156,215254396,1
157,216106613,1
158,222741327,1
159,216766404,1
160,221885328,1
161,219340975,1
162,214935004,1
163,219031873,1
164,213866805,1
165,213806069,1
166,213797754,1
167,216625780,1
168,215713015,1
169,214064729,1
170,217900091,0
171,219115915,1
172,219405562,1
173,215614431,1
174,215636905,1
175,218399278,0
176,215129311,1
177,221317817,1
178,220050241,1
179,216198326,0
180,215011638,1
181,215273135,1
182,214003280,1
183,222075851,1
184,216510178,1
185,217881293,1
186,218609430,1
187,218831243,1
188,213501110,1
189,220188355,1
190,217995770,1
191,214597489,1
192,221863449,1
193,215857469,1
194,222739630,1
195,217912128,1
196,222693495,1
197,217983535,1
198,216000191,1
199,221863706,0
